,SH_510050IV
2016-07-27,17.465999999999998
2016-07-28,16.3702
2016-07-29,16.1682
2016-08-01,16.243
2016-08-02,15.7319
2016-08-03,15.3193
2016-08-04,15.0329
2016-08-05,14.683
2016-08-08,14.647
2016-08-09,14.1952
2016-08-10,14.2398
2016-08-11,14.3343
2016-08-12,14.3703
2016-08-15,16.5851
2016-08-16,16.7916
2016-08-17,16.9729
2016-08-18,17.1363
2016-08-19,17.2347
2016-08-22,17.4401
2016-08-23,17.1108
2016-08-24,17.1632
2016-08-25,17.2954
2016-08-26,17.2144
2016-08-29,17.6982
2016-08-30,17.5677
2016-08-31,17.855
2016-09-01,17.838
2016-09-02,17.8042
2016-09-05,17.6664
2016-09-06,17.527
2016-09-07,17.5147
2016-09-08,17.0551
2016-09-09,16.0697
2016-09-12,16.3112
2016-09-13,14.9971
2016-09-14,14.9778
2016-09-19,14.8831
2016-09-20,14.5018
2016-09-21,14.7588
2016-09-22,13.7604
2016-09-23,13.4208
2016-09-26,13.6488
2016-09-27,13.9227
2016-09-28,14.0665
2016-09-29,12.7328
2016-09-30,13.7444
2016-10-10,14.2262
2016-10-11,13.5828
2016-10-12,13.6057
2016-10-13,13.2977
2016-10-14,12.8136
2016-10-17,12.4624
2016-10-18,12.5783
2016-10-19,13.0828
2016-10-20,12.6248
2016-10-21,12.5797
2016-10-24,13.3878
2016-10-25,13.625
2016-10-26,13.983
2016-10-27,13.6552
2016-10-28,13.7543
2016-10-31,13.7625
2016-11-01,13.9173
2016-11-02,14.3053
2016-11-03,15.1976
2016-11-04,15.3006
2016-11-07,16.4174
2016-11-08,16.1554
2016-11-09,15.7801
2016-11-10,14.3567
2016-11-11,13.9801
2016-11-14,14.5886
2016-11-15,14.56
2016-11-16,14.2721
2016-11-17,13.8698
2016-11-18,13.697
2016-11-21,13.2436
2016-11-22,13.9473
2016-11-23,14.1471
2016-11-24,13.8679
2016-11-25,13.7156
2016-11-28,15.8835
2016-11-29,15.3359
2016-11-30,16.0243
2016-12-01,15.7829
2016-12-02,15.8175
2016-12-05,15.9847
2016-12-06,15.8938
2016-12-07,15.5505
2016-12-08,14.5985
2016-12-09,14.7016
2016-12-12,16.0443
2016-12-13,15.9025
2016-12-14,16.1812
2016-12-15,17.3829
2016-12-16,16.6069
2016-12-19,16.7132
2016-12-20,17.9841
2016-12-21,17.1555
2016-12-22,17.3951
2016-12-23,17.0149
2016-12-26,17.5035
2016-12-27,18.1428
2016-12-28,17.8588
2016-12-29,17.0608
2016-12-30,16.9605
2017-01-03,16.0943
2017-01-04,15.1718
2017-01-05,15.0928
2017-01-06,14.7799
2017-01-09,14.4558
2017-01-10,14.0786
2017-01-11,13.9663
2017-01-12,13.6431
2017-01-13,13.4907
2017-01-16,13.6066
2017-01-17,12.5337
2017-01-18,12.387
2017-01-19,12.2156
2017-01-20,11.8187
2017-01-23,11.7876
2017-01-24,11.8139
2017-01-25,11.6162
2017-01-26,11.4855
2017-02-03,12.3184
2017-02-06,12.4437
2017-02-07,12.3115
2017-02-08,12.7048
2017-02-09,12.6254
2017-02-10,12.5643
2017-02-13,12.2994
2017-02-14,11.6627
2017-02-15,11.3668
2017-02-16,11.5191
2017-02-17,11.7284
2017-02-20,12.8692
2017-02-21,12.9181
2017-02-22,12.6217
2017-02-23,11.644
2017-02-24,11.8235
2017-02-27,12.1961
2017-02-28,12.1797
2017-03-01,12.0466
2017-03-02,12.056
2017-03-03,12.0061
2017-03-06,11.6956
2017-03-07,11.7252
2017-03-08,10.9285
2017-03-09,10.9862
2017-03-10,10.6879
2017-03-13,10.7308
2017-03-14,10.7719
2017-03-15,11.4448
2017-03-16,10.4247
2017-03-17,10.0783
2017-03-20,10.2118
2017-03-21,10.1591
2017-03-22,10.0774
2017-03-23,9.5307
2017-03-24,9.5053
2017-03-27,10.366
2017-03-28,10.4336
2017-03-29,10.1424
2017-03-30,10.0823
2017-03-31,9.7464
2017-04-05,10.228
2017-04-06,10.2016
2017-04-07,10.1285
2017-04-10,10.2017
2017-04-11,10.0711
