,510800
2019-06-24,1.0468
2019-06-25,1.0329
2019-06-26,1.0314
2019-06-27,1.0434
2019-06-28,1.0428
2019-07-01,1.0682
2019-07-02,1.0671
2019-07-03,1.0565
2019-07-04,1.0524
2019-07-05,1.0572
2019-07-08,1.0349
2019-07-09,1.0309
2019-07-10,1.0303
2019-07-11,1.0336
2019-07-12,1.0417
2019-07-15,1.0419
2019-07-16,1.0357
2019-07-17,1.0327
2019-07-18,1.0271
2019-07-19,1.0401
2019-07-22,1.0396
2019-07-23,1.0401
2019-07-24,1.0495
2019-07-25,1.0585
2019-07-26,1.0617
2019-07-29,1.0587
2019-07-30,1.0636
2019-07-31,1.0526
2019-08-01,1.044
2019-08-02,1.029
2019-08-05,1.0086
2019-08-06,0.9992
2019-08-07,0.9945
2019-08-08,1.0118
2019-08-09,1.0067
2019-08-12,1.0308
2019-08-13,1.0195
2019-08-14,1.0237
2019-08-15,1.0274
2019-08-16,1.0311
2019-08-19,1.0501
2019-08-20,1.0496
2019-08-21,1.0472
2019-08-22,1.0502
2019-08-23,1.0642
2019-08-26,1.0448
2019-08-27,1.0534
2019-08-28,1.046
2019-08-29,1.0418
2019-08-30,1.048
2019-09-02,1.0561
2019-09-03,1.0552
2019-09-04,1.0666
2019-09-05,1.0797
2019-09-06,1.0902
2019-09-09,1.0903
2019-09-10,1.0861
2019-09-11,1.0815
2019-09-12,1.0968
2019-09-16,1.0905
2019-09-17,1.0743
2019-09-18,1.0806
2019-09-19,1.0815
2019-09-20,1.0839
2019-09-23,1.0721
2019-09-24,1.0756
2019-09-25,1.0731
2019-09-26,1.0725
2019-09-27,1.073
2019-09-30,1.063
2019-10-08,1.0713
2019-10-09,1.0712
2019-10-10,1.0776
2019-10-11,1.0929
2019-10-14,1.1041
2019-10-15,1.1046
2019-10-16,1.1007
2019-10-17,1.1031
2019-10-18,1.0855
2019-10-21,1.0873
2019-10-22,1.0889
2019-10-23,1.0822
2019-10-24,1.0837
2019-10-25,1.0873
2019-10-28,1.0933
2019-10-29,1.0882
2019-10-30,1.0833
2019-10-31,1.0847
2019-11-01,1.1021
2019-11-04,1.1093
2019-11-05,1.1163
2019-11-06,1.1154
2019-11-07,1.1156
2019-11-08,1.1086
2019-11-11,1.0914
2019-11-12,1.0934
2019-11-13,1.0922
2019-11-14,1.0926
2019-11-15,1.088
2019-11-18,1.102
2019-11-19,1.1093
2019-11-20,1.0977
2019-11-21,1.091
2019-11-22,1.0809
2019-11-25,1.0915
2019-11-26,1.0898
2019-11-27,1.0889
2019-11-28,1.0839
2019-11-29,1.0709
2019-12-02,1.0726
2019-12-03,1.0763
2019-12-04,1.0732
2019-12-05,1.0809
2019-12-06,1.0876
2019-12-09,1.0855
2019-12-10,1.0871
2019-12-11,1.092
2019-12-12,1.0878
2019-12-13,1.1121
2019-12-16,1.1093
2019-12-17,1.1217
2019-12-18,1.1192
2019-12-19,1.1167
2019-12-20,1.1149
2019-12-23,1.1054
2019-12-24,1.1101
2019-12-25,1.1062
2019-12-26,1.1162
2019-12-27,1.1184
2019-12-30,1.1351
2019-12-31,1.1351
2020-01-02,1.1452
2020-01-03,1.1406
2020-01-06,1.1333
2020-01-07,1.1397
2020-01-08,1.1264
2020-01-09,1.1373
2020-01-10,1.1374
2020-01-13,1.1455
2020-01-14,1.1424
2020-01-15,1.1341
2020-01-16,1.1287
2020-01-17,1.1335
2020-01-20,1.14
2020-01-21,1.1201
2020-01-22,1.123
2020-01-23,1.0924
2020-02-03,1.0171
2020-02-04,1.0419
2020-02-05,1.0512
2020-02-06,1.0664
2020-02-07,1.0656
2020-02-10,1.0647
2020-02-11,1.0767
2020-02-12,1.0835
2020-02-13,1.0771
2020-02-14,1.0839
2020-02-17,1.105
2020-02-18,1.0976
2020-02-19,1.097
2020-02-20,1.1164
2020-02-21,1.1142
2020-02-24,1.1006
2020-02-25,1.0932
2020-02-26,1.0916
2020-02-27,1.0976
2020-02-28,1.0644
2020-03-02,1.0962
2020-03-03,1.1013
2020-03-04,1.1108
2020-03-05,1.1367
2020-03-06,1.1174
2020-03-09,1.0818
2020-03-10,1.1024
2020-03-11,1.0891
2020-03-12,1.0719
2020-03-13,1.0559
2020-03-16,1.0169
2020-03-17,1.0137
2020-03-18,0.9914
2020-03-19,0.9706
2020-03-20,0.993
2020-03-23,0.9672
2020-03-24,0.9968
2020-03-25,1.0195
2020-03-26,1.0158
2020-03-27,1.0205
2020-03-30,1.0162
2020-03-31,1.0158
2020-04-01,1.0131
2020-04-02,1.0272
2020-04-03,1.023
2020-04-07,1.0411
2020-04-08,1.0361
2020-04-09,1.0395
2020-04-10,1.0385
2020-04-13,1.0344
2020-04-14,1.0517
2020-04-15,1.0438
2020-04-16,1.0459
2020-04-17,1.061
2020-04-20,1.0684
2020-04-21,1.0551
2020-04-22,1.0632
2020-04-23,1.0608
2020-04-24,1.0528
2020-04-27,1.0634
2020-04-28,1.0705
2020-04-29,1.0786
2020-04-30,1.0852
2020-05-06,1.0861
2020-05-07,1.0826
2020-05-08,1.0927
2020-05-11,1.0944
2020-05-12,1.0935
2020-05-13,1.0928
2020-05-14,1.0808
2020-05-15,1.0758
2020-05-18,1.0835
2020-05-19,1.0927
2020-05-20,1.091
2020-05-21,1.0879
2020-05-22,1.0618
2020-05-25,1.0666
2020-05-26,1.0738
2020-05-27,1.069
2020-05-28,1.0742
2020-05-29,1.0742
2020-06-01,1.0978
2020-06-02,1.1035
2020-06-03,1.1048
2020-06-04,1.103
2020-06-05,1.1079
2020-06-08,1.1144
2020-06-09,1.122
2020-06-10,1.1171
2020-06-11,1.106
2020-06-12,1.1085
2020-06-15,1.0914
2020-06-16,1.1063
2020-06-17,1.107
2020-06-18,1.1108
2020-06-19,1.1259
2020-06-22,1.1273
2020-06-23,1.1297
2020-06-24,1.1397
2020-06-29,1.1329
2020-06-30,1.1417
2020-07-01,1.168
2020-07-02,1.1958
2020-07-03,1.2246
2020-07-06,1.3061
2020-07-07,1.3114
2020-07-08,1.3302
2020-07-09,1.3374
2020-07-10,1.3077
2020-07-13,1.3239
2020-07-14,1.3102
