,thscode,ths_option_call_volume_option,ths_option_put_volume_option,ths_option_call_oi_option,ths_option_put_oi_option,ths_option_total_oi_pcr_option
2022-03-18,510050.SH,2161117,1720690,2048963,1275040,62.2286
2022-03-21,510050.SH,1517903,1523182,2022120,1147727,56.7586
2022-03-22,510050.SH,1469804,1336409,1990827,1202008,60.3773
2022-03-23,510050.SH,1349094,1262926,1069772,910304,85.0933
2022-03-24,510050.SH,849223,859590,1167865,1001819,85.7821
2022-03-25,510050.SH,1072432,1166388,1311994,992703,75.6637
2022-03-28,510050.SH,1174283,1363351,1373139,1038470,75.6274
2022-03-29,510050.SH,770322,734993,1416139,1056186,74.5821
2022-03-30,510050.SH,1274554,1179335,1335481,1158473,86.7457
2022-03-31,510050.SH,722143,608588,1393278,1165219,83.6315
2022-04-01,510050.SH,1410317,1194273,1358405,1217376,89.618
2022-04-06,510050.SH,1041311,926115,1464191,1248563,85.2732
2022-04-07,510050.SH,1018497,1058580,1523743,1239793,81.365
2022-04-08,510050.SH,887992,913095,1507090,1282014,85.0655
2022-04-11,510050.SH,1365327,1506965,1743326,1217728,69.8508
2022-04-12,510050.SH,1376548,1241726,1654284,1235897,74.7089
2022-04-13,510050.SH,928984,873410,1640946,1291046,78.6769
2022-04-14,510050.SH,1445294,1328585,1578898,1399276,88.6236
2022-04-15,510050.SH,1065811,934222,1631670,1427004,87.4567
2022-04-18,510050.SH,1281197,1303596,1804752,1335116,73.9778
2022-04-19,510050.SH,1313685,1212655,1922548,1329399,69.1478
2022-04-20,510050.SH,1429219,1325247,2001052,1314855,65.7082
2022-04-21,510050.SH,2049086,1875474,2098706,1255449,59.8201
2022-04-22,510050.SH,1600237,1416785,1937350,1261233,65.1009
2022-04-25,510050.SH,2345137,2304093,2125513,1132708,53.291000000000004
2022-04-26,510050.SH,2109747,2029836,2136265,1130214,52.9061
2022-04-27,510050.SH,1684641,1419560,1345876,915570,68.0278
2022-04-28,510050.SH,1092908,1049444,1387494,998968,71.998
2022-04-29,510050.SH,1428338,1254740,1393288,1044889,74.9945
2022-05-05,510050.SH,787976,761032,1454027,1103433,75.8881
2022-05-06,510050.SH,1194696,1263270,1641519,1076508,65.58
2022-05-09,510050.SH,994963,979077,1806027,1096801,60.73
2022-05-10,510050.SH,1422134,1338273,1777622,1118680,62.9313
2022-05-11,510050.SH,1267604,1052567,1684955,1178532,69.9444
2022-05-12,510050.SH,838101,850574,1746394,1187498,67.9971
2022-05-13,510050.SH,1020429,858108,1704921,1223205,71.7456
2022-05-16,510050.SH,1122259,1013308,1774501,1200939,67.6776
2022-05-17,510050.SH,1018064,1005499,1678292,1255595,74.8139
2022-05-18,510050.SH,1098123,1090288,1685632,1255220,74.4658
2022-05-19,510050.SH,1119460,1093520,1654304,1263069,76.3505
2022-05-20,510050.SH,1910655,1598031,1530559,1314245,85.867
2022-05-23,510050.SH,1291994,1127534,1624196,1220979,75.1744
2022-05-24,510050.SH,1238095,1097272,1707875,1152154,67.4613
2022-05-25,510050.SH,1005233,898145,1192787,839863,70.4118
2022-05-26,510050.SH,1075417,909380,1311762,912359,69.5522
2022-05-27,510050.SH,1034230,851868,1290462,969272,75.1105
2022-05-30,510050.SH,732976,709202,1292264,1037719,80.3024
2022-05-31,510050.SH,1182716,1040546,1267506,1144062,90.2609
2022-06-01,510050.SH,705532,742113,1319783,1138619,86.2732
2022-06-02,510050.SH,648673,731186,1339963,1147500,85.6367
2022-06-06,510050.SH,1308893,1171078,1349321,1256508,93.1215
2022-06-07,510050.SH,1443314,1047035,1343365,1355997,100.9403
2022-06-08,510050.SH,1575314,1221975,1336496,1448459,108.3774
2022-06-09,510050.SH,1210604,1025042,1372736,1465097,106.7282
2022-06-10,510050.SH,1415634,1336922,1344144,1447247,107.6705
2022-06-13,510050.SH,1346681,1376860,1423853,1299067,91.236
2022-06-14,510050.SH,1747837,1693892,1432960,1310622,91.4626
2022-06-15,510050.SH,3332081,2120543,1336751,1468600,109.8634
2022-06-16,510050.SH,1617200,1444258,1409985,1379069,97.8074
2022-06-17,510050.SH,2124300,1726010,1376192,1445293,105.0212
2022-06-20,510050.SH,1794103,1590375,1350927,1389826,102.8794
2022-06-21,510050.SH,1616611,1480021,1321590,1377240,104.2108
2022-06-22,510050.SH,1208754,1154269,844797,773416,91.5505
2022-06-23,510050.SH,1084126,996586,914745,907916,99.2535
2022-06-24,510050.SH,1365354,1133011,941960,1046901,111.1407
2022-06-27,510050.SH,1647598,1306059,1000742,1171145,117.0277
2022-06-28,510050.SH,1009234,896777,1024529,1227873,119.8476
2022-06-29,510050.SH,1106228,998315,1077833,1218278,113.0303
2022-06-30,510050.SH,1737458,1333360,1074266,1335137,124.2837
2022-07-01,510050.SH,1024644,813438,1164512,1320187,113.3683
2022-07-04,510050.SH,905611,798668,1209264,1338495,110.6867
2022-07-05,510050.SH,1311182,993353,1249482,1353839,108.352
2022-07-06,510050.SH,1283055,1226712,1353697,1275404,94.2164
2022-07-07,510050.SH,856984,929150,1362193,1310061,96.1729
2022-07-08,510050.SH,956877,911333,1344106,1315846,97.8975
2022-07-11,510050.SH,1195230,1184394,1457883,1255737,86.1343
2022-07-12,510050.SH,1056880,967458,1526472,1235782,80.9567
2022-07-13,510050.SH,1012925,983349,1562073,1240482,79.4125
2022-07-14,510050.SH,1259193,1204532,1607984,1215075,75.5651
2022-07-15,510050.SH,1608336,1492269,1711573,1163507,67.9788
2022-07-18,510050.SH,1362765,1271715,1634620,1230222,75.2604
2022-07-19,510050.SH,1262994,1113465,1692143,1200572,70.9498
2022-07-20,510050.SH,1018084,834502,1656472,1236172,74.6268
2022-07-21,510050.SH,1013158,1016854,1696158,1186071,69.9269
2022-07-22,510050.SH,1533534,1555643,1648038,1177837,71.469
2022-07-25,510050.SH,1041292,992515,1645448,1155183,70.2048
2022-07-26,510050.SH,1021976,940158,1625453,1163753,71.5956
2022-07-27,510050.SH,1019336,941284,1053294,793781,75.3618
2022-07-28,510050.SH,1021351,814666,1198195,871314,72.7189
2022-07-29,510050.SH,1353185,1206949,1336657,927155,69.3637
2022-08-01,510050.SH,847830,821654,1391334,932985,67.0569
2022-08-02,510050.SH,1364746,1440510,1484961,942165,63.4471
2022-08-03,510050.SH,1103239,1149249,1534829,956298,62.3065
2022-08-04,510050.SH,953066,922742,1541723,1014834,65.8247
2022-08-05,510050.SH,1005394,969272,1475832,1037571,70.3041
2022-08-08,510050.SH,636463,573096,1563170,1050043,67.1739
2022-08-09,510050.SH,516173,467854,1562790,1069038,68.4057
2022-08-10,510050.SH,1004545,868183,1643357,1039975,63.2836
2022-08-11,510050.SH,1328563,1023139,1521130,1133107,74.4911
2022-08-12,510050.SH,868414,681522,1541186,1138698,73.8845
2022-08-15,510050.SH,985290,787922,1613474,1120935,69.4734
2022-08-16,510050.SH,935553,748496,1672779,1124236,67.2077
2022-08-17,510050.SH,1292470,1000720,1648961,1143482,69.3456
2022-08-18,510050.SH,996456,822199,1763238,1112376,63.0871
2022-08-19,510050.SH,1131249,765591,1717194,1100230,64.0714
2022-08-22,510050.SH,983788,796265,1657074,1061574,64.0632
2022-08-23,510050.SH,1154057,958785,1713799,1024454,59.7768
2022-08-24,510050.SH,1221933,1119830,1074995,765847,71.2419
2022-08-25,510050.SH,991160,806608,1077397,841707,78.1241
2022-08-26,510050.SH,623531,523045,1115675,876800,78.5892
2022-08-29,510050.SH,582111,602202,1204907,905211,75.127
2022-08-30,510050.SH,725827,617929,1273704,930443,73.0502
2022-08-31,510050.SH,1206262,1007192,1229338,968784,78.8053
2022-09-01,510050.SH,740927,628332,1321895,989824,74.8792
2022-09-02,510050.SH,1002736,935012,1488964,1032118,69.3179
2022-09-05,510050.SH,868388,760485,1575909,1043485,66.2148
2022-09-06,510050.SH,770428,642404,1543340,1050730,68.0816
2022-09-07,510050.SH,550640,523784,1586387,1080581,68.1159
2022-09-08,510050.SH,626319,448902,1612515,1092318,67.74
2022-09-09,510050.SH,1273471,973881,1459722,1157736,79.3121
2022-09-13,510050.SH,956647,774652,1451803,1212366,83.5076
2022-09-14,510050.SH,853733,826729,1539943,1187059,77.0846
2022-09-15,510050.SH,1255637,1162224,1599103,1194523,74.6996
2022-09-16,510050.SH,1448966,1363651,1823438,1160726,63.6559
2022-09-19,510050.SH,992789,815341,1839093,1143587,62.1821
2022-09-20,510050.SH,806753,607501,1814123,1147058,63.2293
2022-09-21,510050.SH,1176500,1004160,1896967,1144011,60.3074
2022-09-22,510050.SH,1132424,999674,1935478,1118401,57.7842
2022-09-23,510050.SH,1288302,1125906,1892536,1111379,58.7243
2022-09-26,510050.SH,1111653,1078474,1863401,1033299,55.4523
2022-09-27,510050.SH,1112077,1018042,1824431,1029646,56.4366
2022-09-28,510050.SH,1002418,951335,1050911,726677,69.1473
2022-09-29,510050.SH,911448,791888,1127116,770588,68.3681
2022-09-30,510050.SH,830557,739803,1167833,793504,67.9467
2022-10-10,510050.SH,1404845,1047403,1413996,833902,58.9748
2022-10-11,510050.SH,832125,762105,1497635,871400,58.1851
2022-10-12,510050.SH,1737818,1576964,1553461,886531,57.0681
2022-10-13,510050.SH,977471,831858,1628333,912093,56.0139
2022-10-14,510050.SH,1604340,1130614,1474435,959955,65.1066
2022-10-17,510050.SH,848484,660908,1496520,970444,64.8467
2022-10-18,510050.SH,1048195,791685,1555674,969401,62.3139
2022-10-19,510050.SH,1381782,1089637,1703556,942401,55.3196
2022-10-20,510050.SH,1651068,1315058,1781200,933830,52.427
2022-10-21,510050.SH,1204450,955943,1827786,946454,51.7814
2022-10-24,510050.SH,2264360,1991581,1902787,844384,44.3762
2022-10-25,510050.SH,1607792,1466694,1929810,856050,44.3593
2022-10-26,510050.SH,1483863,1346488,1219692,727291,59.6291
2022-10-27,510050.SH,1070939,924410,1355691,778431,57.4195
2022-10-28,510050.SH,1361705,1335041,1505194,823285,54.6963
2022-10-31,510050.SH,1211958,1218004,1631677,854869,52.391999999999996
2022-11-01,510050.SH,1764199,1262395,1523963,945708,62.0558
2022-11-02,510050.SH,1499264,1135639,1456537,986745,67.74600000000001
2022-11-03,510050.SH,942632,839283,1594105,958633,60.1361
2022-11-04,510050.SH,2079057,1334604,1381470,1053522,76.2609
2022-11-07,510050.SH,1507385,982405,1432050,1089698,76.0936
2022-11-08,510050.SH,1042531,806110,1541379,1060791,68.8209
2022-11-09,510050.SH,968665,696969,1642285,1059019,64.4845
2022-11-10,510050.SH,1199334,941954,1676950,1073158,63.9946
2022-11-11,510050.SH,2773627,1704289,1432425,1149620,80.2569
2022-11-14,510050.SH,2026688,1508583,1362870,1223561,89.7783
2022-11-15,510050.SH,2045025,1618222,1326648,1318194,99.3628
2022-11-16,510050.SH,1176201,1011061,1371211,1312411,95.7118
2022-11-17,510050.SH,1412204,1239577,1478270,1187360,80.3209
2022-11-18,510050.SH,1296058,1015445,1498261,1192432,79.5877
2022-11-21,510050.SH,1548829,1374899,1500173,1093054,72.8619
2022-11-22,510050.SH,1729303,1259591,1486675,1114225,74.9474
2022-11-23,510050.SH,1386905,1158714,1069823,732205,68.4417
2022-11-24,510050.SH,865679,706314,1223793,788534,64.4336
2022-11-25,510050.SH,898496,767601,1192109,859058,72.062
2022-11-28,510050.SH,1406111,1424797,1318611,843712,63.9849
2022-11-29,510050.SH,1996463,1520633,1133841,1006352,88.756
2022-11-30,510050.SH,951119,727013,1182682,1063800,89.9481
2022-12-01,510050.SH,1638610,1063608,1194652,1142766,95.6568
2022-12-02,510050.SH,856358,780521,1280338,1102480,86.1085
2022-12-05,510050.SH,1335723,1147363,1252647,1173055,93.6461
2022-12-06,510050.SH,1371446,1122965,1230341,1251140,101.6905
2022-12-07,510050.SH,1357171,1194106,1265661,1255540,99.2003
2022-12-08,510050.SH,856064,697458,1294275,1279995,98.8967
2022-12-09,510050.SH,1332426,1219930,1298543,1364998,105.1177
2022-12-12,510050.SH,883292,814096,1336657,1293731,96.7886
2022-12-13,510050.SH,705936,666081,1346521,1309363,97.2404
2022-12-14,510050.SH,1061213,885328,1365062,1332323,97.6016
2022-12-15,510050.SH,970614,885685,1398592,1329911,95.0893
2022-12-16,510050.SH,978768,836231,1409233,1328055,94.2396
2022-12-19,510050.SH,1285080,1188530,1485107,1222579,82.3226
2022-12-20,510050.SH,1564544,1681535,1632226,1128357,69.1299
2022-12-21,510050.SH,991042,940523,1564660,1157623,73.9856
2022-12-22,510050.SH,1358736,1174347,1488340,1205446,80.9926
2022-12-23,510050.SH,972373,1060121,1489661,1199233,80.5038
2022-12-26,510050.SH,840144,800993,1423259,1107552,77.818
2022-12-27,510050.SH,1034317,973644,1365309,1114513,81.6308
2022-12-28,510050.SH,853102,816512,719222,695717,96.7319
2022-12-29,510050.SH,744092,748269,834868,725362,86.8834
2022-12-30,510050.SH,698002,639692,864994,793650,91.7521
2023-01-03,510050.SH,985368,894797,898542,835941,93.03299999999999
2023-01-04,510050.SH,669798,626264,900908,889125,98.6921
2023-01-05,510050.SH,1272065,1180754,845669,1040433,123.0308
2023-01-06,510050.SH,883219,841680,840097,1113352,132.5266
2023-01-09,510050.SH,994943,829091,846076,1196094,141.3696
2023-01-10,510050.SH,774924,660508,878813,1228817,139.8269
2023-01-11,510050.SH,980987,874742,891638,1269709,142.4018
2023-01-12,510050.SH,687993,690048,913002,1257013,137.6791
2023-01-13,510050.SH,1168857,1283698,863013,1282726,148.6335
2023-01-16,510050.SH,2446115,1895932,882266,1322943,149.9483
2023-01-17,510050.SH,1041747,964959,939577,1288065,137.0899
2023-01-18,510050.SH,1035471,991121,956515,1272164,132.9999
2023-01-19,510050.SH,1252803,1207870,946147,1190278,125.8027
2023-01-20,510050.SH,1263311,1009891,927953,1169021,125.9785
2023-01-30,510050.SH,1424086,1071403,775048,818143,105.5603
2023-01-31,510050.SH,916143,964963,889224,890657,100.1612
2023-02-01,510050.SH,1151748,1212057,965552,939747,97.3274
2023-02-02,510050.SH,889629,825135,998083,985361,98.7254
2023-02-03,510050.SH,1176547,1287346,1091621,974185,89.2421
2023-02-06,510050.SH,1161871,1297521,1213045,971400,80.0795
2023-02-07,510050.SH,861851,895084,1209568,1004180,83.0197
2023-02-08,510050.SH,734042,781346,1221744,1033001,84.5513
2023-02-09,510050.SH,1090559,1093236,1200349,1036363,86.3385
2023-02-10,510050.SH,767227,725560,1245928,1030073,82.6752
2023-02-13,510050.SH,1051515,1053199,1210682,1082613,89.4217
2023-02-14,510050.SH,677246,686176,1210897,1095323,90.4555
2023-02-15,510050.SH,997486,969687,1259662,1096115,87.0166
2023-02-16,510050.SH,1707716,1627771,1222771,1090518,89.1842
2023-02-17,510050.SH,1261495,1388583,1260761,1061073,84.1613
2023-02-20,510050.SH,1769307,1734714,1126856,1124569,99.79700000000001
2023-02-21,510050.SH,1304736,1167717,1129575,1179766,104.4434
2023-02-22,510050.SH,1196907,1151886,774026,825685,106.6741
2023-02-23,510050.SH,961674,915399,875061,872153,99.6677
2023-02-24,510050.SH,1088019,1261104,1005938,888339,88.3095
2023-02-27,510050.SH,748424,831342,1049424,920647,87.7288
2023-02-28,510050.SH,950768,994208,1100367,937494,85.1983
2023-03-01,510050.SH,1406519,1224469,1036855,1012502,97.6513
2023-03-02,510050.SH,681543,615611,1058030,1051647,99.3967
2023-03-03,510050.SH,835571,730637,1084979,1064866,98.1462
2023-03-06,510050.SH,1010538,965554,1170648,1025017,87.5598
2023-03-07,510050.SH,1372698,1272782,1195831,980463,81.9901
2023-03-08,510050.SH,933637,965254,1310196,962237,73.4422
2023-03-09,510050.SH,1059493,960204,1410762,955195,67.7077
2023-03-10,510050.SH,1317824,1371623,1516657,986079,65.0166
2023-03-13,510050.SH,1113768,1060520,1468940,1006206,68.4988
2023-03-14,510050.SH,1199152,1243142,1494930,1012283,67.7144
2023-03-15,510050.SH,1049405,976223,1454595,1022860,70.3192
2023-03-16,510050.SH,1144029,1258670,1488959,1018810,68.4243
2023-03-17,510050.SH,1777306,1613909,1424933,1026927,72.0684
2023-03-20,510050.SH,955703,1024357,1444571,976995,67.6322
2023-03-21,510050.SH,1106363,1160364,1384416,982717,70.9842
2023-03-22,510050.SH,979562,968889,667346,665144,99.67
2023-03-23,510050.SH,692649,658716,733913,769464,104.844
2023-03-24,510050.SH,553997,486618,824959,801755,97.1873
2023-03-27,510050.SH,658826,640893,924269,846925,91.6319
2023-03-28,510050.SH,540945,459318,951469,858404,90.2188
2023-03-29,510050.SH,571315,472308,986839,877120,88.8818
2023-03-30,510050.SH,949525,836695,963061,904246,93.8929
2023-03-31,510050.SH,766766,643415,989013,898783,90.8768
2023-04-03,510050.SH,833750,647178,1030920,937584,90.9463
2023-04-04,510050.SH,703342,576113,1060132,968218,91.3299
2023-04-06,510050.SH,488632,447803,1126893,975186,86.5376
2023-04-07,510050.SH,809751,654491,1069736,1022969,95.6282
2023-04-10,510050.SH,644245,561380,1067754,1051739,98.5001
2023-04-11,510050.SH,732437,684351,1114381,1060079,95.1272
2023-04-12,510050.SH,668741,540391,1171751,1057403,90.2413
2023-04-13,510050.SH,839351,697942,1156363,1080969,93.4801
2023-04-14,510050.SH,940135,797602,1153755,1097073,95.0872
2023-04-17,510050.SH,1543098,1368408,1078659,1220338,113.1347
2023-04-18,510050.SH,1286121,1150519,1061592,1231679,116.0219
2023-04-19,510050.SH,1015534,904670,1111854,1182060,106.3143
2023-04-20,510050.SH,1154268,1094799,1214207,1140549,93.9337
2023-04-21,510050.SH,1597600,1585646,1298634,1083570,83.4392
2023-04-24,510050.SH,1494332,1644708,1412314,1025037,72.5785
2023-04-25,510050.SH,1627329,1684023,1485527,1046908,70.4738
2023-04-26,510050.SH,975846,898033,926947,761278,82.1275
2023-04-27,510050.SH,997854,832445,939775,825689,87.8603
2023-04-28,510050.SH,975309,823587,939244,881645,93.8675
2023-05-04,510050.SH,938373,861639,957129,972024,101.5562
2023-05-05,510050.SH,867587,842982,995912,1005233,100.9359
2023-05-08,510050.SH,1245274,1122087,954774,1092890,114.4658
2023-05-09,510050.SH,1880180,1586273,1023740,1160488,113.3577
2023-05-10,510050.SH,1234684,1228412,1163678,1060827,91.1616
2023-05-11,510050.SH,800622,699890,1208315,1061190,87.824
2023-05-12,510050.SH,1339170,1245191,1337674,1014539,75.8435
2023-05-15,510050.SH,1530608,1233693,1318759,1039347,78.8125
2023-05-16,510050.SH,1000074,845764,1352614,1069027,79.0342
2023-05-17,510050.SH,1061725,1005796,1452157,1063800,73.2565
2023-05-18,510050.SH,1361046,1277736,1411654,1075212,76.1668
2023-05-19,510050.SH,1252831,1225095,1443858,1053979,72.9974
2023-05-22,510050.SH,1428465,1256497,1362969,1040617,76.3493
2023-05-23,510050.SH,1191687,1133951,1425087,990399,69.4974
2023-05-24,510050.SH,1531707,1526175,1044723,779954,74.6565
2023-05-25,510050.SH,1261700,1314014,1257441,835865,66.4735
2023-05-26,510050.SH,1097758,1090621,1364984,887240,65.0
2023-05-29,510050.SH,785433,728433,1427942,916758,64.2013
2023-05-30,510050.SH,1338311,1218005,1533930,946405,61.6981
2023-05-31,510050.SH,1182454,1160912,1686948,975817,57.8451
2023-06-01,510050.SH,1146797,1000016,1705283,1004519,58.9063
2023-06-02,510050.SH,1170470,962750,1636627,1046094,63.9177
2023-06-05,510050.SH,655378,542581,1678806,1035525,61.6822
2023-06-06,510050.SH,1226013,1035072,1676662,1041035,62.0897
2023-06-07,510050.SH,977409,897393,1695719,1042035,61.4509
2023-06-08,510050.SH,1140405,986506,1684281,1082715,64.2835
2023-06-09,510050.SH,749101,624952,1689632,1108494,65.6056
2023-06-12,510050.SH,909982,854601,1705306,1127062,66.0915
2023-06-13,510050.SH,817818,724667,1701271,1148833,67.5279
2023-06-14,510050.SH,1139781,985300,1694332,1165264,68.7742
2023-06-15,510050.SH,1347648,1283519,1572648,1203239,76.5104
2023-06-16,510050.SH,1474942,1207098,1460781,1218343,83.4035
2023-06-19,510050.SH,1080342,902812,1601161,1175962,73.4443
2023-06-20,510050.SH,988820,807300,1663805,1162409,69.8645
2023-06-21,510050.SH,1126211,995644,1672991,1101468,65.8383
2023-06-26,510050.SH,1255342,1202106,1720106,1016357,59.0869
2023-06-27,510050.SH,1040369,954639,1669146,1028328,61.608000000000004
2023-06-28,510050.SH,1028711,948295,935826,656771,70.1809
2023-06-29,510050.SH,761022,705384,1085289,715792,65.954
2023-06-30,510050.SH,713147,623883,1109349,756257,68.1712
2023-07-03,510050.SH,898572,763695,1068162,848190,79.4065
2023-07-04,510050.SH,534928,414726,1109633,867178,78.15
2023-07-05,510050.SH,547101,527882,1161551,864884,74.4594
2023-07-06,510050.SH,767451,726107,1263178,867264,68.6573
2023-07-07,510050.SH,670493,671770,1350318,855183,63.332
2023-07-10,510050.SH,843848,661911,1359207,900034,66.2176
2023-07-11,510050.SH,723382,607329,1334568,946906,70.9522
2023-07-12,510050.SH,822078,677146,1308915,987005,75.4063
2023-07-13,510050.SH,1183443,1028770,1175438,1052866,89.5722
2023-07-14,510050.SH,645039,545843,1188084,1092407,91.9469
2023-07-17,510050.SH,745217,714245,1290768,1019501,78.9841
2023-07-18,510050.SH,694882,627288,1356059,1041806,76.82600000000002
2023-07-19,510050.SH,805290,738697,1366797,1082386,79.1914
2023-07-20,510050.SH,1199681,1055420,1395550,1074785,77.0152
2023-07-21,510050.SH,1229990,1107908,1360573,1049622,77.1456
2023-07-24,510050.SH,944912,801100,1383228,1013641,73.2808
2023-07-25,510050.SH,2186226,1542438,1078647,1107574,102.6818
2023-07-26,510050.SH,1068961,716930,776078,749452,96.5692
2023-07-27,510050.SH,934781,802867,863426,840234,97.314
2023-07-28,510050.SH,1825852,1613141,846923,1008052,119.0252
2023-07-31,510050.SH,1714286,1323205,976668,1106222,113.2649
2023-08-01,510050.SH,1014678,864884,1052408,1117677,106.2019
2023-08-02,510050.SH,1308515,1162559,1195968,1049866,87.7838
2023-08-03,510050.SH,1124661,876563,1219234,1081967,88.7415
2023-08-04,510050.SH,1940074,1205940,1253041,1119198,89.3185
2023-08-07,510050.SH,842094,648768,1334229,1101770,82.5773
2023-08-08,510050.SH,997986,776976,1401628,1123624,80.1656
2023-08-09,510050.SH,712758,541028,1466794,1136663,77.493
2023-08-10,510050.SH,1083796,768949,1523109,1148956,75.4349
2023-08-11,510050.SH,1722690,1402056,1638717,1049361,64.0355
2023-08-14,510050.SH,1604618,1327987,1737933,1035682,59.5927
2023-08-15,510050.SH,1459183,1061213,1784677,1057335,59.2452
2023-08-16,510050.SH,1036092,866005,1861487,1065780,57.2542
2023-08-17,510050.SH,1374772,1135773,1909962,1094411,57.3001
2023-08-18,510050.SH,1201000,924549,1912078,1091134,57.0653
2023-08-21,510050.SH,1498245,1203772,1959103,1038621,53.0151
2023-08-22,510050.SH,1642319,1347181,1932195,1010878,52.3176
2023-08-23,510050.SH,1130271,966584,1174608,768104,65.3924
2023-08-24,510050.SH,812997,592232,1243926,827340,66.5104
2023-08-25,510050.SH,800002,694896,1290038,859928,66.6591
2023-08-28,510050.SH,2227200,1178131,1357118,930822,68.5881
2023-08-29,510050.SH,997422,858852,1403676,956221,68.1226
2023-08-30,510050.SH,685610,526072,1448008,960434,66.3279
2023-08-31,510050.SH,679166,546697,1492574,958938,64.2473
2023-09-01,510050.SH,629998,532386,1460913,970405,66.4246
2023-09-04,510050.SH,1072779,830342,1372362,1006122,73.3132
2023-09-05,510050.SH,572546,506399,1415557,996895,70.4242
2023-09-06,510050.SH,573272,503090,1464642,1006574,68.7249
2023-09-07,510050.SH,822037,692378,1512787,992971,65.6385
2023-09-08,510050.SH,633683,626963,1579819,990871,62.7205
2023-09-11,510050.SH,782525,629764,1573427,1027208,65.2848
2023-09-12,510050.SH,424852,328883,1585516,1043757,65.8307
2023-09-13,510050.SH,925189,844174,1594221,1041112,65.3054
2023-09-14,510050.SH,805344,735526,1607354,1064385,66.2197
2023-09-15,510050.SH,1093496,974699,1662570,1056599,63.5522
2023-09-18,510050.SH,800306,766667,1608126,1099609,68.3783
2023-09-19,510050.SH,713329,603202,1608667,1104637,68.6678
2023-09-20,510050.SH,622391,546847,1630360,1089860,66.8478
2023-09-21,510050.SH,955545,904353,1680687,1047378,62.3184
2023-09-22,510050.SH,1627890,1399913,1512357,1123030,74.2569
2023-09-25,510050.SH,818944,689787,1497665,1049954,70.1061
2023-09-26,510050.SH,715498,636102,1531235,1009176,65.906
2023-09-27,510050.SH,1035925,850699,789945,667554,84.5064
2023-09-28,510050.SH,663564,535366,943323,716949,76.0025
2023-10-09,510050.SH,1047711,756252,1096348,783755,71.4878
2023-10-10,510050.SH,737017,597926,1203396,814906,67.7172
2023-10-11,510050.SH,671360,579654,1208443,837066,69.2681
2023-10-12,510050.SH,870922,704679,1176975,885080,75.1996
2023-10-13,510050.SH,658085,576513,1266586,864260,68.2354
2023-10-16,510050.SH,863336,676246,1358514,866488,63.782
2023-10-17,510050.SH,651192,521747,1386205,901119,65.0062
2023-10-18,510050.SH,774322,615606,1440237,915510,63.5666
2023-10-19,510050.SH,1778053,1589919,1627569,884815,54.3642
2023-10-20,510050.SH,1242019,1242158,1682405,878798,52.2346
2023-10-23,510050.SH,1472024,1207317,1770132,883538,49.9137
2023-10-24,510050.SH,1308145,1184132,1794349,908311,50.6206
2023-10-25,510050.SH,1282991,980891,1086607,736649,67.7935
2023-10-26,510050.SH,747856,595327,1205218,810790,67.2733
2023-10-27,510050.SH,1047280,887794,1163806,855261,73.4883
2023-10-30,510050.SH,701685,549422,1228060,892150,72.6471
2023-10-31,510050.SH,537984,457847,1283714,914389,71.23
2023-11-01,510050.SH,670486,499870,1290522,916735,71.036
2023-11-02,510050.SH,567153,501213,1279414,932011,72.8467
2023-11-03,510050.SH,673344,520330,1264096,945264,74.7779
2023-11-06,510050.SH,884631,618942,1241424,983838,79.2508
2023-11-07,510050.SH,570659,484583,1289875,1002609,77.7292
2023-11-08,510050.SH,697044,617788,1350662,1006726,74.5357
2023-11-09,510050.SH,601791,553625,1375589,1035773,75.2967
2023-11-10,510050.SH,737535,653235,1455899,989150,67.9408
2023-11-13,510050.SH,706914,597429,1497179,975163,65.1334
2023-11-14,510050.SH,684809,588164,1528597,990219,64.7796
2023-11-15,510050.SH,938473,671372,1486995,1025527,68.9664
2023-11-16,510050.SH,949753,710808,1495473,989535,66.1687
2023-11-17,510050.SH,983896,872683,1499223,940827,62.7543
2023-11-20,510050.SH,973413,823803,1504533,953761,63.3925
2023-11-21,510050.SH,1238049,928602,1435016,955415,66.5787
2023-11-22,510050.SH,827738,713971,935945,663515,70.8925
2023-11-23,510050.SH,707855,569999,1018211,709485,69.6796
2023-11-24,510050.SH,508748,413788,1078876,730806,67.7377
2023-11-27,510050.SH,888432,789544,1193123,770906,64.6124
2023-11-28,510050.SH,513820,452269,1246111,810428,65.0366
2023-11-29,510050.SH,691253,567124,1321617,830944,62.8733
2023-11-30,510050.SH,593234,451828,1347765,850913,63.1351
2023-12-01,510050.SH,955235,851268,1439942,857606,59.5584
2023-12-04,510050.SH,638032,521263,1512521,879454,58.1449
2023-12-05,510050.SH,1207177,1106455,1598408,882418,55.2061
2023-12-06,510050.SH,998053,992716,1639729,910475,55.5259
2023-12-07,510050.SH,958778,989355,1677015,928376,55.3588
2023-12-08,510050.SH,643415,595253,1690174,957303,56.6393
2023-12-11,510050.SH,1450997,1150721,1708864,988962,57.8725
2023-12-12,510050.SH,755191,564673,1712950,1021267,59.6204
2023-12-13,510050.SH,982357,828285,1836222,979405,53.338
2023-12-14,510050.SH,932685,982501,1851214,982310,53.063
2023-12-15,510050.SH,1278649,1210574,1888939,994758,52.6623
2023-12-18,510050.SH,953298,886109,1912506,1031248,53.9213
2023-12-19,510050.SH,888570,764585,1942501,1038892,53.4822
2023-12-20,510050.SH,864198,717868,1962012,1035777,52.7916
