,margin_balance,short_balance
2015-10-22,998305000000.0,2937053101.0
2015-10-23,1007630000000.0,2964404977.0
2015-10-26,1021000000000.0,2966491101.0
2015-10-27,1027640000000.0,2980173855.0
2015-10-28,1025370000000.0,2980923279.0
2015-10-29,1032150000000.0,2934340478.0
2015-10-30,1030210000000.0,2893438137.0
2015-11-02,1027720000000.0,2875271247.0
2015-11-03,1028960000000.0,2854606548.0
2015-11-04,1049460000000.0,2965825330.0
2015-11-05,1067490000000.0,2991702969.0
2015-11-06,1080840000000.0,3033341437.0
2015-11-09,1114030000000.0,3105139905.0
2015-11-10,1135140000000.0,3075561261.0
2015-11-11,1149910000000.0,3064968539.0
2015-11-12,1163270000000.0,3106183145.0
2015-11-13,1164200000000.0,3155588876.0
2015-11-16,1176940000000.0,3151542255.0
2015-11-17,1194530000000.0,3205680346.0
2015-11-18,1195480000000.0,3178114563.0
2015-11-19,1209320000000.0,3136559040.0
2015-11-20,1218920000000.0,3154985824.0
2015-11-23,1215090000000.0,3108155364.0
2015-11-24,1217190000000.0,3102775445.0
2015-11-25,1219180000000.0,3137062673.0
2015-11-26,1217340000000.0,3187672883.0
2015-11-27,1194310000000.0,2946520165.0
2015-11-30,1193260000000.0,2903066580.0
2015-12-01,1195240000000.0,2969015444.0
2015-12-02,1190810000000.0,3104293661.0
2015-12-03,1184950000000.0,3081322101.0
2015-12-04,1164210000000.0,3023970674.0
2015-12-07,1163270000000.0,3084182160.0
2015-12-08,1155590000000.0,3055494980.0
2015-12-09,1154130000000.0,3035500747.0
2015-12-10,1152050000000.0,3050481638.0
2015-12-11,1151180000000.0,2982041314.0
2015-12-14,1165290000000.0,3023119404.0
2015-12-15,1168620000000.0,2926213113.0
2015-12-16,1171680000000.0,2946662506.0
2015-12-17,1170630000000.0,3133966639.0
2015-12-18,1171050000000.0,3087820197.0
2015-12-21,1180670000000.0,3226205871.0
2015-12-22,1190480000000.0,3143157178.0
2015-12-23,1202450000000.0,3223298249.0
2015-12-24,1208080000000.0,3035784415.0
2015-12-25,1207680000000.0,2983898518.0
2015-12-28,1186480000000.0,2941541362.0
2015-12-29,1186770000000.0,2989049486.0
2015-12-30,1188330000000.0,2992501959.0
2015-12-31,1171310000000.0,2960008594.0
2016-01-04,1158830000000.0,2702537224.0
2016-01-05,1137460000000.0,2722711271.0
2016-01-06,1131570000000.0,2786312982.0
2016-01-07,1120060000000.0,2555050248.0
2016-01-08,1096600000000.0,2502377033.0
