,SH_510050SKEW
2016-09-13,98.404
2016-09-14,96.5824
2016-09-19,97.0725
2016-09-20,97.9457
2016-09-21,97.5003
2016-09-22,96.1497
2016-09-23,95.7213
2016-09-26,95.7213
2016-09-27,94.8996
2016-09-28,96.3697
2016-09-29,96.3697
2016-09-30,97.5156
2016-10-10,101.3027
2016-10-11,101.4187
2016-10-12,100.3804
2016-10-13,101.1794
2016-10-14,102.0947
2016-10-17,100.1319
2016-10-18,102.1331
2016-10-19,99.6589
2016-10-20,99.8095
2016-10-21,100.9227
2016-10-24,105.6647
2016-10-25,105.1331
2016-10-26,103.2514
2016-10-27,102.3275
2016-10-28,102.0382
2016-10-31,101.8544
2016-11-01,102.9019
2016-11-02,101.4692
2016-11-03,104.179
2016-11-04,102.3875
2016-11-07,102.4196
2016-11-08,101.9728
2016-11-09,101.8967
2016-11-10,102.9684
2016-11-11,105.4782
2016-11-14,107.3356
2016-11-15,107.2129
2016-11-16,107.1801
2016-11-17,108.3765
2016-11-18,108.7445
2016-11-21,108.7445
2016-11-22,109.7921
2016-11-23,110.898
2016-11-24,112.8529
2016-11-25,110.3986
2016-11-28,109.1723
2016-11-29,109.1723
2016-11-30,98.4647
2016-12-01,99.5188
2016-12-02,98.5316
2016-12-05,98.5316
2016-12-06,96.598
2016-12-07,96.1406
2016-12-08,97.1535
2016-12-09,100.2789
2016-12-12,97.2348
2016-12-13,97.6901
2016-12-14,97.2433
2016-12-15,97.2433
2016-12-16,93.4465
2016-12-19,92.7534
2016-12-20,92.7534
2016-12-21,94.1119
2016-12-22,93.4333
2016-12-23,93.4333
2016-12-26,93.6461
2016-12-27,92.1553
2016-12-28,92.1553
2016-12-29,92.5148
2016-12-30,93.8593
2017-01-03,98.1069
2017-01-04,99.645
2017-01-05,99.0739
2017-01-06,99.3877
2017-01-09,99.8248
2017-01-10,98.6347
2017-01-11,98.0045
2017-01-12,97.2519
2017-01-13,99.1328
2017-01-16,100.253
2017-01-17,98.5051
2017-01-18,101.0741
2017-01-19,102.1657
2017-01-20,102.7447
2017-01-23,101.3799
2017-01-24,101.6073
2017-01-25,102.4761
2017-01-26,104.8599
2017-02-03,100.1361
2017-02-06,100.0727
2017-02-07,98.5299
2017-02-08,99.1354
2017-02-09,100.7897
2017-02-10,102.6027
2017-02-13,102.058
2017-02-14,103.3283
2017-02-15,102.6521
2017-02-16,101.5354
2017-02-17,100.3439
2017-02-20,100.9366
2017-02-21,101.4959
2017-02-22,101.647
2017-02-23,99.9863
2017-02-24,99.7129
2017-02-27,99.7129
2017-02-28,100.2003
2017-03-01,101.1245
2017-03-02,98.6236
2017-03-03,96.8687
2017-03-06,97.2119
2017-03-07,97.9158
2017-03-08,98.013
2017-03-09,94.7128
2017-03-10,93.877
2017-03-13,98.0906
2017-03-14,97.4119
2017-03-15,97.6936
2017-03-16,101.0799
2017-03-17,97.4198
2017-03-20,98.3558
2017-03-21,97.7234
2017-03-22,95.6755
2017-03-23,96.046
2017-03-24,99.1002
2017-03-27,99.6295
2017-03-28,99.368
2017-03-29,98.989
2017-03-30,97.2575
2017-03-31,98.8943
2017-04-05,98.8943
2017-04-06,98.6905
2017-04-07,98.0678
2017-04-10,98.4301
2017-04-11,97.8778
2017-04-12,102.3935
2017-04-13,102.3111
2017-04-14,99.2071
2017-04-17,100.2337
2017-04-18,96.7374
2017-04-19,96.7374
2017-04-20,96.1064
2017-04-21,97.9489
2017-04-24,95.9951
2017-04-25,97.4676
2017-04-26,97.9821
2017-04-27,97.8193
2017-04-28,97.0433
2017-05-02,96.8668
2017-05-03,94.1544
2017-05-04,99.0476
2017-05-05,96.7783
2017-05-08,97.4314
2017-05-09,97.8313
2017-05-10,103.7255
2017-05-11,92.7335
2017-05-12,101.7741
2017-05-15,103.5073
2017-05-16,105.2788
2017-05-17,99.275
2017-05-18,96.5754
2017-05-19,96.4642
2017-05-22,98.8243
2017-05-23,99.8426
2017-05-24,99.455
2017-05-25,99.455
2017-05-26,108.0055
2017-05-31,107.961
2017-06-01,107.6156
2017-06-02,104.4162
2017-06-05,101.1158
2017-06-06,101.9826
2017-06-07,103.5446
2017-06-08,105.3597
2017-06-09,107.0231
2017-06-12,105.3496
2017-06-13,105.0458
2017-06-14,100.7286
2017-06-15,102.0682
2017-06-16,100.8977
2017-06-19,101.7711
2017-06-20,99.8555
2017-06-21,102.3654
2017-06-22,102.3654
2017-06-23,102.3654
2017-06-26,103.3654
2017-06-27,103.7115
2017-06-28,101.7059
2017-06-29,103.2289
2017-06-30,102.6977
2017-07-03,100.7011
2017-07-04,100.7011
2017-07-05,102.8188
2017-07-06,102.6106
2017-07-07,101.4188
2017-07-10,103.7081
2017-07-11,104.179
2017-07-12,102.7932
2017-07-13,102.7932
2017-07-14,106.1618
2017-07-17,108.0759
2017-07-18,105.2378
2017-07-19,105.2378
2017-07-20,104.676
2017-07-21,101.9788
2017-07-24,104.924
2017-07-25,103.5979
2017-07-26,101.5235
2017-07-27,100.808
2017-07-28,100.9397
2017-07-31,101.4809
2017-08-01,101.4809
2017-08-02,101.4809
2017-08-03,101.6287
2017-08-04,100.9607
2017-08-07,102.5444
2017-08-08,102.7237
2017-08-09,103.9317
2017-08-10,102.4484
2017-08-11,101.8609
2017-08-14,102.501
2017-08-15,104.2394
2017-08-16,103.1887
2017-08-17,104.4619
2017-08-18,105.6
2017-08-21,104.6691
2017-08-22,107.6116
2017-08-23,109.739
2017-08-24,109.9524
2017-08-25,109.9524
2017-08-28,109.9524
2017-08-29,109.4397
2017-08-30,108.1878
2017-08-31,107.1202
2017-09-01,107.3108
2017-09-04,106.0159
2017-09-05,107.8045
2017-09-06,106.2756
2017-09-07,105.1163
2017-09-08,104.1782
2017-09-11,102.1258
2017-09-12,103.2215
2017-09-13,102.494
2017-09-14,102.6023
2017-09-15,103.3196
2017-09-18,101.1453
2017-09-19,102.5184
2017-09-20,100.2841
2017-09-21,95.3771
2017-09-22,95.5112
2017-09-25,96.1498
2017-09-26,95.7923
2017-09-27,95.7917
2017-09-28,95.7917
2017-09-29,95.7917
2017-10-09,99.8765
2017-10-10,99.661
2017-10-11,99.661
2017-10-12,99.661
2017-10-13,99.661
2017-10-16,99.661
2017-10-17,101.0847
2017-10-18,104.2309
2017-10-19,103.2016
2017-10-20,101.6039
2017-10-23,102.8966
2017-10-24,102.8317
2017-10-25,103.4092
2017-10-26,103.4092
2017-10-27,103.4092
2017-10-30,106.8923
2017-10-31,107.426
2017-11-01,107.2822
2017-11-02,108.9214
2017-11-03,108.4864
2017-11-06,108.7161
2017-11-07,108.7161
2017-11-08,108.9134
2017-11-09,108.8069
2017-11-10,108.8069
2017-11-13,108.8069
2017-11-14,109.1219
2017-11-15,107.8455
2017-11-16,107.8455
2017-11-17,107.8455
2017-11-20,108.2213
2017-11-21,108.2213
2017-11-22,108.2213
2017-11-23,108.2213
2017-11-24,103.4784
2017-11-27,103.4936
2017-11-28,100.1464
2017-11-29,98.6485
2017-11-30,98.6485
2017-12-01,96.7952
2017-12-04,99.4295
2017-12-05,103.3772
2017-12-06,99.4048
2017-12-07,97.2301
2017-12-08,99.6063
2017-12-11,102.2785
2017-12-12,98.7316
2017-12-13,99.5191
2017-12-14,98.5163
2017-12-15,98.5163
2017-12-18,98.122
2017-12-19,101.8752
2017-12-20,101.3483
2017-12-21,101.3483
2017-12-22,100.5913
2017-12-25,100.5913
2017-12-26,100.5913
2017-12-27,97.6358
2017-12-28,97.6358
2017-12-29,97.6358
2018-01-02,99.2264
2018-01-03,99.093
2018-01-04,99.0263
2018-01-05,100.1059
2018-01-08,100.4659
2018-01-09,102.0547
2018-01-10,102.0977
2018-01-11,100.9008
2018-01-12,104.393
2018-01-15,105.378
2018-01-16,98.6657
2018-01-17,99.1752
2018-01-18,97.9408
2018-01-19,99.9979
2018-01-22,101.9995
2018-01-23,100.9149
2018-01-24,101.2337
2018-01-25,98.6337
2018-01-26,98.282
2018-01-29,97.2168
2018-01-30,96.5292
2018-01-31,99.656
2018-02-01,101.0038
2018-02-02,99.629
2018-02-05,100.9907
2018-02-06,100.3565
2018-02-07,98.316
2018-02-08,96.5832
2018-02-09,91.9012
2018-02-12,95.8113
2018-02-13,96.945
2018-02-14,99.4862
2018-02-22,98.2388
2018-02-23,99.2819
2018-02-26,98.8595
2018-02-27,98.4264
2018-02-28,97.7771
2018-03-01,98.4556
2018-03-02,97.89
2018-03-05,98.7563
2018-03-06,99.0525
2018-03-07,98.1643
2018-03-08,99.4713
2018-03-09,98.9871
2018-03-12,98.5635
2018-03-13,98.7656
2018-03-14,98.701
2018-03-15,99.8827
2018-03-16,99.7601
2018-03-19,101.3154
2018-03-20,101.5503
2018-03-21,100.0718
2018-03-22,100.1725
2018-03-23,92.1565
2018-03-26,93.6494
2018-03-27,95.8156
2018-03-28,92.1546
2018-03-29,99.1069
2018-03-30,98.1206
2018-04-02,98.088
2018-04-03,98.6687
2018-04-04,98.8699
2018-04-09,100.0648
2018-04-10,103.0014
2018-04-11,102.9476
2018-04-12,101.5001
2018-04-13,100.7337
2018-04-16,96.9529
2018-04-17,97.9574
2018-04-18,98.205
2018-04-19,102.0786
2018-04-20,99.3168
2018-04-23,99.624
2018-04-24,101.8281
2018-04-25,100.3173
2018-04-26,98.6969
2018-04-27,97.5707
2018-05-02,97.1299
2018-05-03,97.5287
2018-05-04,96.3118
2018-05-07,97.6973
2018-05-08,99.4692
2018-05-09,99.0708
2018-05-10,98.4744
2018-05-11,98.8746
2018-05-14,100.6077
2018-05-15,99.1412
2018-05-16,98.8131
2018-05-17,96.7875
2018-05-18,95.8017
2018-05-21,96.6098
2018-05-22,95.2707
2018-05-23,95.3558
2018-05-24,93.1811
2018-05-25,92.3697
2018-05-28,93.5787
2018-05-29,94.0534
2018-05-30,94.3473
2018-05-31,97.8928
2018-06-01,98.1459
2018-06-04,100.5365
2018-06-05,100.1392
2018-06-06,99.658
2018-06-07,100.925
2018-06-08,100.3003
2018-06-11,101.8346
2018-06-12,102.7731
2018-06-13,102.436
2018-06-14,103.0493
2018-06-15,103.6144
2018-06-19,100.1891
2018-06-20,99.864
2018-06-21,100.8614
2018-06-22,100.8546
2018-06-25,97.1118
2018-06-26,96.5345
2018-06-27,96.5159
2018-06-28,98.8198
2018-06-29,100.9212
2018-07-02,96.5544
2018-07-03,99.0435
2018-07-04,99.0577
2018-07-05,99.4536
2018-07-06,101.6988
2018-07-09,104.931
2018-07-10,104.5916
2018-07-11,104.1789
2018-07-12,105.7907
2018-07-13,104.9712
2018-07-16,103.8434
2018-07-17,103.1493
2018-07-18,104.0883
2018-07-19,105.9491
2018-07-20,107.7136
2018-07-23,107.3459
2018-07-24,107.6372
2018-07-25,105.3274
2018-07-26,103.4251
2018-07-27,102.8112
2018-07-30,103.101
2018-07-31,103.5064
2018-08-01,103.1402
2018-08-02,100.8524
2018-08-03,99.5732
2018-08-06,99.4086
2018-08-07,100.7608
2018-08-08,100.1803
2018-08-09,101.2627
2018-08-10,100.4931
2018-08-13,99.374
2018-08-14,99.5017
2018-08-15,97.8407
2018-08-16,96.4176
2018-08-17,94.8037
2018-08-20,96.0285
2018-08-21,97.3872
2018-08-22,99.5699
2018-08-23,99.1905
2018-08-24,100.4513
2018-08-27,102.0251
2018-08-28,101.6624
2018-08-29,101.7138
2018-08-30,101.2017
2018-08-31,100.3319
2018-09-03,100.8834
2018-09-04,101.71
2018-09-05,99.3883
2018-09-06,98.8098
2018-09-07,100.6243
2018-09-10,100.0368
2018-09-11,98.2807
2018-09-12,97.4481
2018-09-13,98.3259
2018-09-14,97.991
2018-09-17,98.8103
2018-09-18,101.2631
2018-09-19,101.8744
2018-09-20,103.2896
2018-09-21,106.8613
2018-09-25,103.024
2018-09-26,104.2957
2018-09-27,102.3926
2018-09-28,103.4503
2018-10-08,96.3806
2018-10-09,99.6804
2018-10-10,99.8796
2018-10-11,95.3028
2018-10-12,100.4975
2018-10-15,98.4726
2018-10-16,99.2653
2018-10-17,98.6959
2018-10-18,95.7078
2018-10-19,100.5504
2018-10-22,103.6359
2018-10-23,98.9041
2018-10-24,100.9086
2018-10-25,101.5528
2018-10-26,100.4576
2018-10-29,97.0133
2018-10-30,98.7176
2018-10-31,100.5255
2018-11-01,101.4955
2018-11-02,104.4451
2018-11-05,101.8859
2018-11-06,101.0837
2018-11-07,100.4041
2018-11-08,101.133
2018-11-09,98.695
2018-11-12,98.4736
2018-11-13,99.8206
2018-11-14,98.3799
2018-11-15,99.854
2018-11-16,99.6934
2018-11-19,100.9547
2018-11-20,99.5758
2018-11-21,99.6201
2018-11-22,99.1898
2018-11-23,97.149
2018-11-26,98.6741
2018-11-27,98.3432
2018-11-28,99.0471
2018-11-29,99.317
2018-11-30,100.7323
2018-12-03,102.3379
2018-12-04,101.7878
2018-12-05,101.528
2018-12-06,99.4097
2018-12-07,99.2426
2018-12-10,98.5207
2018-12-11,99.7092
2018-12-12,100.0092
2018-12-13,101.0061
2018-12-14,99.3131
2018-12-17,99.6729
2018-12-18,98.974
2018-12-19,98.2789
2018-12-20,98.3453
2018-12-21,96.8945
2018-12-24,98.6436
2018-12-25,97.9023
2018-12-26,97.669
2018-12-27,98.275
2018-12-28,98.5564
2019-01-02,97.7829
2019-01-03,99.3915
2019-01-04,101.3586
2019-01-07,100.7762
2019-01-08,100.5334
2019-01-09,101.799
2019-01-10,101.8778
2019-01-11,103.5476
2019-01-14,101.2319
2019-01-15,103.7243
2019-01-16,103.3558
2019-01-17,104.9347
2019-01-18,105.2359
