,H00905
2017-07-25,6758.6265
2017-07-26,6751.2687
2017-07-27,6792.3551
2017-07-28,6827.2792
2017-07-31,6918.0035
2017-08-01,6905.5623
2017-08-02,6867.4744
2017-08-03,6878.5744
2017-08-04,6838.3894
2017-08-07,6924.4096
2017-08-08,6924.7338
2017-08-09,6964.6541
2017-08-10,6909.0175
2017-08-11,6768.3733
2017-08-14,6912.7794
2017-08-15,6937.3096
2017-08-16,6941.8035
2017-08-17,6993.6962
2017-08-18,6973.6157
2017-08-21,7035.1641
2017-08-22,7004.6462
2017-08-23,6946.2013
2017-08-24,6897.6522
2017-08-25,6972.3475
2017-08-28,7058.0978
2017-08-29,7040.0506
2017-08-30,7089.8252
2017-08-31,7108.5927
2017-09-01,7170.451
2017-09-04,7212.3934
2017-09-05,7220.2804
2017-09-06,7259.0178
2017-09-07,7205.709
2017-09-08,7222.8332
2017-09-11,7305.722
2017-09-12,7299.5522
2017-09-13,7343.9455
2017-09-14,7330.5472
2017-09-15,7275.4585
2017-09-18,7327.9763
2017-09-19,7291.2404
2017-09-20,7353.2665
2017-09-21,7265.0023
2017-09-22,7221.0126
2017-09-25,7130.7331
2017-09-26,7164.7398
2017-09-27,7233.3642
2017-09-28,7216.4997
2017-09-29,7255.7138
2017-10-09,7338.2478
2017-10-10,7368.0367
2017-10-11,7325.1704
2017-10-12,7317.0679
2017-10-13,7373.0263
2017-10-16,7273.4593
2017-10-17,7266.5775
2017-10-18,7212.1784
2017-10-19,7144.0095
2017-10-20,7220.9549
2017-10-23,7266.4746
2017-10-24,7255.7575
2017-10-25,7305.0828
2017-10-26,7331.4958
2017-10-27,7286.4075
2017-10-30,7155.5922
2017-10-31,7208.8257
2017-11-01,7200.8579
2017-11-02,7126.1031
2017-11-03,7062.4279
2017-11-06,7154.8605
2017-11-07,7199.7391
2017-11-08,7210.4567
2017-11-09,7265.0289
2017-11-10,7297.8464
2017-11-13,7330.8005
2017-11-14,7268.5035
2017-11-15,7184.0471
2017-11-16,7206.7413
2017-11-17,6990.9591
2017-11-20,7069.2303
2017-11-21,7094.7041
2017-11-22,7076.1221
2017-11-23,6894.8848
2017-11-24,6898.7496
2017-11-27,6807.0197
2017-11-28,6922.1376
2017-11-29,6943.0778
2017-11-30,6882.6977
2017-12-01,6940.9227
2017-12-04,6900.499
2017-12-05,6739.5883
2017-12-06,6783.4256
2017-12-07,6742.9106
2017-12-08,6817.2837
2017-12-11,6908.5255
